Programme,Deadline,Apply
Doctor of Nursing,"12:00 noon (GMT +8), February 23, 2024",Full Time / Part Time
Master of Advanced Pharmacy,"Round 1 (Main): Non-local applicants: 12:00 noon (GMT +8), April 30, 2024 Local applicants: 12:00 noon (GMT +8), May 31, 2024 Round 2 (Clearing): Local applicants: 12:00 noon (GMT +8), June 28, 2024",Full Time / Part Time
Master of Medical Sciences,"Round 1: 12:00 noon (GMT +8), March 28, 2024 Round 2: 12:00 noon (GMT +8), May 31, 2024 (for local applicants only)",Full Time / Part Time
Master of Nursing,"Round 1: 12:00 noon (GMT +8), February 9, 2024 Round 2: 12:00 noon (GMT +8), April 2, 2024",Full Time / Part Time
Master of Public Health,"Round 1 (Main): 12:00 noon (GMT +8), April 30, 2024 Round 2 (Clearing): 12:00 noon (GMT +8), June 28, 2024 (for local applicants only)",Full Time / Part Time
Master of Research in Medicine,"12:00 noon (GMT +8), January 13, 2023",Full Time
Master of Science in Nursing,"Main Round: 12:00 noon (GMT +8), December 22, 2023 Round 2: 12:00 noon (GMT +8), February 23, 2024",Full Time
Master of Data Science,"Round 1 (Main): 12:00 noon (GMT +8), November 20, 2023 Round 2 (Clearing): 12:00 noon (GMT +8), January 8, 2024",Full Time / Part Time
Master of Science in Artificial Intelligence,"Round 1 (Main): 12:00 noon (GMT +8), December 15, 2023 Round 2 (Clearing): 12:00 noon (GMT +8), March 15, 2024",Full Time
Master of Science in Environmental Management,"12:00 noon (GMT +8), April 30, 2024",Full Time / Part Time
Master of Science in the field of Applied Geosciences,"Non-local Students:  Round 1: 12:00 noon (GMT +8), January 31, 2024 Round 2: 12:00 noon (GMT +8), April 30, 2024 Local Students: Round 1: 12:00 noon (GMT +8), January 31, 2024 Round 2: 12:00 noon (GMT +8), April 30, 2024",Full Time / Part Time
Master of Science in the field of Chemical Technologies for Health and Materials,"Non-local students: 12:00 noon (GMT +8), April 30, 2024  Local students: 12:00 noon (GMT +8), June 28, 2024",Full Time
Master of Science in the field of Food Industry: Management and Marketing,"Non-local students: 12:00 noon (GMT +8), April 30, 2024  Local students: 12:00 noon (GMT +8), June 28, 2024",Full Time
Master of Science in the field of Food Safety and Toxicology,"12:00 noon (GMT +8), April 30, 2024",Full Time
Master of Science in the field of Physics,"Non-local students: 12:00 noon (GMT +8), April 30, 2024 Local students: 12:00 noon (GMT +8), June 28, 2024",Full Time
Master of Statistics,"Round 1 (Main): 12:00 noon (GMT +8), November 20, 2023 Round 2 (Clearing): 12:00 noon (GMT +8), January 8, 2024",Full Time / Part Time
